date,open,close,high,low,volume,amount,return,is_extreme,code,name,industry,index_000300_close,index_000001_close,macro_cpi,macro_m2
2025-12-11,27.59383609,27.49489799,27.8016061,27.41574751,19406528.0,542086409.02,-0.007171059772949926,False,002142,宁波银行,银行,4552.1848,3873.3176,0.8,8.5
2025-12-12,27.5047918,27.42564132,27.55426085,27.25744655,21541150.0,596364444.4,-0.002522069432709835,False,002142,宁波银行,银行,4580.95,3889.3457,0.8,8.5
2025-12-15,27.31680941,27.95001325,28.27650898,27.26734036,28636730.0,808364212.55,0.01893928327074744,False,002142,宁波银行,银行,4552.0596,3867.9209,0.8,8.5
2025-12-16,27.98958849,27.95001325,28.21714612,27.67298657,18927753.0,533254875.47,0.0,False,002142,宁波银行,银行,4497.5545,3824.8119,0.8,8.5
2025-12-17,27.94,28.02,28.2,27.7,17219403.0,481153375.19,0.00250086724704226,False,002142,宁波银行,银行,4579.875,3870.2775,0.8,8.5
2025-12-18,28.02,28.78,28.91,28.02,25328118.0,722524498.49,0.026762160550360868,False,002142,宁波银行,银行,4552.7926,3876.3705,0.8,8.5
2025-12-19,28.59,28.76,29.05,28.53,19809146.0,571270562.72,-0.000695168606375856,False,002142,宁波银行,银行,4568.1781,3890.4475,0.8,8.5
2025-12-22,28.68,28.59,28.75,28.33,16293898.0,465751564.0,-0.005928526518625521,False,002142,宁波银行,银行,4611.6235,3917.3638,0.8,8.5
2025-12-23,28.62,28.61,28.88,28.42,19120724.0,546814671.61,0.0006993007277983927,False,002142,宁波银行,银行,4620.7341,3919.9786,0.8,8.5
2025-12-24,28.61,28.37,28.82,28.21,22495927.0,638681833.52,-0.008424058241258822,False,002142,宁波银行,银行,4634.0586,3940.947,0.8,8.5
2025-12-25,28.4,28.31,28.65,28.21,18819424.0,533860289.94,-0.002117149696951837,False,002142,宁波银行,银行,4642.5357,3959.6211,0.8,8.5
2025-12-26,28.4,28.0,28.41,27.9,24431956.0,686565608.84,-0.011010588948604223,False,002142,宁波银行,银行,4657.24,3963.6789,0.8,8.5
2025-12-29,27.99,28.06,28.09,27.72,22014405.0,615367872.28,0.0021405644991108167,False,002142,宁波银行,银行,4639.3721,3965.2796,0.8,8.5
2025-12-30,28.0,28.18,28.25,27.85,18224731.0,511423314.23,0.00426743179621934,False,002142,宁波银行,银行,4651.2818,3965.1159,0.8,8.5
2025-12-31,28.05,28.09,28.2,27.93,17624444.0,494581199.66,-0.0031988653543818884,False,002142,宁波银行,银行,4629.9395,3968.8401,0.8,8.5
2026-01-05,28.18,28.15,28.29,27.97,27171969.0,763958427.98,0.002133713469547071,False,002142,宁波银行,银行,4717.7457,4023.4167,0.2,9.0
2026-01-06,28.15,28.88,28.93,27.91,53748647.0,1530907097.02,0.02560195943892619,False,002142,宁波银行,银行,4790.6938,4083.6672,0.2,9.0
2026-01-07,28.88,29.12,29.43,28.7,41107135.0,1196272616.23,0.008275909303859881,False,002142,宁波银行,银行,4776.6658,4085.7723,0.2,9.0
2026-01-08,29.12,28.68,29.14,28.61,29447456.0,848916699.81,-0.015225207597065669,False,002142,宁波银行,银行,4737.6536,4082.9788,0.2,9.0
2026-01-09,28.68,28.15,28.78,28.01,42229523.0,1191273573.64,-0.018652661145720284,False,002142,宁波银行,银行,4758.9221,4120.426,0.2,9.0
2026-01-12,28.12,28.07,28.2,27.9,34029730.0,954701375.7,-0.002845964211908164,False,002142,宁波银行,银行,4789.9155,4165.287,0.2,9.0
2026-01-13,28.06,29.26,29.62,27.93,65538875.0,1903846971.49,0.04152000521818726,False,002142,宁波银行,银行,4761.0324,4138.7585,0.2,9.0
2026-01-14,29.26,28.9,29.26,28.73,39458561.0,1142422273.56,-0.012379800473591855,False,002142,宁波银行,银行,4741.9306,4126.0932,0.2,9.0
2026-01-15,28.9,28.81,29.09,28.7,28500831.0,823820851.14,-0.003119046021949409,False,002142,宁波银行,银行,4751.4293,4112.6012,0.2,9.0
2026-01-16,28.8,29.3,29.59,28.8,58951668.0,1722617779.71,0.016864966926584495,False,002142,宁波银行,银行,4731.8728,4101.9127,0.2,9.0
2026-01-19,29.11,28.41,29.11,28.26,43120844.0,1235589493.86,-0.030846320156925084,False,002142,宁波银行,银行,4734.4556,4114.0001,0.2,9.0
2026-01-20,28.41,28.55,28.71,28.27,35950501.0,1024422638.28,0.004915740235922738,False,002142,宁波银行,银行,4718.8782,4113.649,0.2,9.0
2026-01-21,28.77,28.88,29.08,28.45,43227919.0,1246183619.41,0.01149237792260623,False,002142,宁波银行,银行,4723.0692,4116.94,0.2,9.0
2026-01-22,28.96,29.5,29.95,28.69,50660537.0,1497575947.2,0.02124094932114873,False,002142,宁波银行,银行,4723.7091,4122.576,0.2,9.0
2026-01-23,29.52,28.98,29.67,28.84,46143710.0,1340963797.96,-0.017784326453237763,False,002142,宁波银行,银行,4702.4966,4136.1642,0.2,9.0
2026-01-26,28.98,30.29,30.78,28.84,77887188.0,2356425365.3,0.044211688146609654,False,002142,宁波银行,银行,4706.964,4132.6052,0.2,9.0
2026-01-27,30.22,30.55,30.75,29.86,50722973.0,1544508069.79,0.008547060578458348,False,002142,宁波银行,银行,4705.6918,4139.9041,0.2,9.0
2026-01-28,30.4,30.0,30.52,29.89,45292222.0,1364378906.23,-0.018167303955448938,False,002142,宁波银行,银行,4717.9914,4151.2378,0.2,9.0
2026-01-29,30.16,31.06,31.19,29.97,44401236.0,1359467262.27,0.03472343605838552,False,002142,宁波银行,银行,4753.8697,4157.9845,0.2,9.0
2026-01-30,31.13,30.95,31.33,30.64,40049495.0,1242302056.46,-0.0035478185899358522,False,002142,宁波银行,银行,4706.3401,4117.9476,0.2,9.0
2026-02-02,30.8,30.53,31.39,30.46,44331252.0,1369466399.98,-0.013663192383818523,False,002142,宁波银行,银行,4605.9799,4015.7464,1.3,9.0
2026-02-03,30.52,30.7,31.02,30.34,35294611.0,1079439088.64,0.005552847846364919,False,002142,宁波银行,银行,4660.1074,4067.7379,1.3,9.0
2026-02-04,30.6,31.7,31.85,30.55,36535672.0,1153275025.85,0.03205402629008348,False,002142,宁波银行,银行,4698.6832,4102.202,1.3,9.0
2026-02-05,31.71,32.53,32.8,31.69,53615737.0,1737886722.97,0.02584605960202517,False,002142,宁波银行,银行,4670.4188,4075.9167,1.3,9.0
2026-02-06,32.54,32.27,32.92,32.13,33006502.0,1069021678.96,-0.00802473442138955,False,002142,宁波银行,银行,4643.5959,4065.5834,1.3,9.0
2026-02-09,32.2,32.61,32.9,32.05,30751350.0,1001178255.39,0.010480983737357157,False,002142,宁波银行,银行,4719.0559,4123.0897,1.3,9.0
2026-02-10,32.53,32.3,32.66,32.2,20752561.0,672083638.23,-0.009551759572616971,False,002142,宁波银行,银行,4724.2956,4128.3731,1.3,9.0
2026-02-11,32.0,31.95,32.3,31.68,32819270.0,1047933739.94,-0.010895049405066947,False,002142,宁波银行,银行,4713.8185,4131.985,1.3,9.0
2026-02-12,31.84,31.37,31.94,31.28,28410509.0,895652474.91,-0.01832015862095698,False,002142,宁波银行,银行,4719.578,4134.0178,1.3,9.0
2026-02-13,31.33,31.2,31.53,31.15,15102698.0,472340060.67,-0.00543392738715016,False,002142,宁波银行,银行,4660.4056,4082.0726,1.3,9.0
2026-02-24,31.44,31.19,31.47,30.96,20486025.0,639293541.2,-0.0003205641957246675,False,002142,宁波银行,银行,4707.544,4117.4089,1.3,9.0
2026-02-25,31.24,30.96,31.34,30.77,17574800.0,545151018.38,-0.007401481898185554,False,002142,宁波银行,银行,4735.8858,4147.2305,1.3,9.0
2026-02-26,31.04,30.98,31.29,30.8,14060952.0,435517258.73,0.0006457862671962811,False,002142,宁波银行,银行,4726.8739,4146.6311,1.3,9.0
2026-02-27,30.9,31.29,31.66,30.85,28987898.0,910675415.49,0.0099567226920681,False,002142,宁波银行,银行,4710.6469,4162.8815,1.3,9.0
2026-03-02,31.26,32.3,32.58,31.1,33550979.0,1078515194.46,0.03176867254782013,False,002142,宁波银行,银行,4728.6688,4182.5909,1.0,8.5
2026-03-03,32.36,32.14,32.47,31.9,29274328.0,941416004.64,-0.004965869919244252,False,002142,宁波银行,银行,4655.8962,4122.676,1.0,8.5
2026-03-04,32.0,31.95,32.19,31.61,24860927.0,792918102.71,-0.005929179485822725,False,002142,宁波银行,银行,4602.6247,4082.474,1.0,8.5
2026-03-05,31.97,31.7,32.05,31.51,19191003.0,607549012.23,-0.007855499940308883,False,002142,宁波银行,银行,4647.6921,4108.567,1.0,8.5
2026-03-06,31.64,31.7,31.82,31.22,19390837.0,611031339.8,0.0,False,002142,宁波银行,银行,4660.439,4124.194,1.0,8.5
2026-03-09,31.58,31.42,31.89,31.36,20297501.0,641949712.65,-0.008872048055759732,False,002142,宁波银行,银行,4615.4551,4096.6023,1.0,8.5
2026-03-10,31.41,31.56,31.7,31.04,13417991.0,422140686.93,0.004445863150198267,False,002142,宁波银行,银行,4674.7562,4123.138,1.0,8.5
2026-03-11,31.53,31.15,31.58,30.84,20205909.0,627515517.11,-0.01307625074421139,False,002142,宁波银行,银行,4704.4959,4133.4331,1.0,8.5
2026-03-12,31.1,31.46,31.56,31.0,15918331.0,498643506.25,0.009902652396669652,False,002142,宁波银行,银行,4687.5601,4129.1026,1.0,8.5
2026-03-13,31.31,31.15,31.5,30.83,21371583.0,665844105.48,-0.009902652396669712,False,002142,宁波银行,银行,4669.14,4095.4485,1.0,8.5
2026-03-16,31.03,31.13,31.45,30.89,19190410.0,597659619.69,-0.0006422607799453445,False,002142,宁波银行,银行,4671.5591,4084.7858,1.0,8.5
2026-03-17,31.12,30.95,31.59,30.93,18215429.0,568975805.43,-0.005798985322911652,False,002142,宁波银行,银行,4637.4392,4049.9073,1.0,8.5
2026-03-18,30.91,30.35,30.95,29.82,38971710.0,1180311780.03,-0.019576481625097716,False,002142,宁波银行,银行,4658.3324,4062.9844,1.0,8.5
2026-03-19,30.28,30.2,30.59,30.11,22994094.0,697387175.06,-0.004954593124683341,False,002142,宁波银行,银行,4583.2511,4006.5523,1.0,8.5
2026-03-20,30.2,30.58,30.77,30.06,25128799.0,766534468.18,0.01250427612009233,False,002142,宁波银行,银行,4567.0179,3957.0527,1.0,8.5
2026-03-23,30.27,29.49,30.34,29.3,34374342.0,1021455770.78,-0.03629497767373131,False,002142,宁波银行,银行,4417.9971,3813.2829,1.0,8.5
2026-03-24,29.68,30.03,30.22,29.53,21426967.0,642963955.12,0.018145659168054058,False,002142,宁波银行,银行,4474.7224,3881.2797,1.0,8.5
2026-03-25,30.18,30.35,30.39,29.77,12005083.0,362131665.69,0.010599635510268442,False,002142,宁波银行,银行,4537.4656,3931.8375,1.0,8.5
2026-03-26,30.34,30.42,30.7,30.3,13886225.0,423693208.53,0.0023037693256395325,False,002142,宁波银行,银行,4477.5343,3889.0835,1.0,8.5
2026-03-27,30.31,30.1,30.63,30.05,13668319.0,413033258.08,-0.010575115076316732,False,002142,宁波银行,银行,4502.5698,3913.7238,1.0,8.5
2026-03-30,29.91,30.12,30.31,29.82,13887525.0,417904004.86,0.000664231176862766,False,002142,宁波银行,银行,4491.95,3923.2869,1.0,8.5
2026-03-31,30.1,30.45,30.98,30.06,26279720.0,804284519.48,0.010896591224213192,False,002142,宁波银行,银行,4450.0493,3891.8605,1.0,8.5
2026-04-01,30.6,30.63,30.94,30.41,14502886.0,445855362.98,0.005893926688777798,False,002142,宁波银行,银行,4526.0668,3948.5521,1.2,8.6
2026-04-02,30.58,30.45,30.76,30.35,15108031.0,461169262.51,-0.005893926688777801,False,002142,宁波银行,银行,4478.9141,3919.2852,1.2,8.6
2026-04-03,30.46,30.05,30.5,29.84,13704601.0,411809353.54,-0.013223333174689428,False,002142,宁波银行,银行,4440.7889,3880.0967,1.2,8.6
2026-04-07,30.01,30.29,30.35,29.95,16799970.0,506837784.61,0.007954964057929208,False,002142,宁波银行,银行,4440.6162,3890.1645,1.2,8.6
2026-04-08,30.48,30.6,30.68,30.15,17623632.0,536683634.74,0.010182383919189174,False,002142,宁波银行,银行,4595.556,3994.9975,1.2,8.6
2026-04-09,30.46,30.1,30.54,30.09,16711131.0,504846399.91,-0.016474837203505097,False,002142,宁波银行,银行,4566.2237,3966.1712,1.2,8.6
2026-04-10,30.31,30.25,30.37,30.11,17527442.0,529936043.17,0.004971012722020402,False,002142,宁波银行,银行,4636.5655,3986.2247,1.2,8.6
2026-04-13,30.15,30.51,30.51,29.96,16775505.0,507820136.68,0.0085583142517279,False,002142,宁波银行,银行,4646.1546,3988.558,1.2,8.6
2026-04-14,30.49,30.91,31.05,30.49,17052631.0,526049995.52,0.013025257415446655,False,002142,宁波银行,银行,4701.2837,4026.6256,1.2,8.6
2026-04-15,30.99,31.52,31.6,30.86,24776802.0,775994775.99,0.019542508845653363,False,002142,宁波银行,银行,4685.2464,4027.2095,1.2,8.6
2026-04-16,31.51,31.3,31.82,31.23,16142890.0,507672964.2,-0.007004167443570795,False,002142,宁波银行,银行,4736.6077,4055.5468,1.2,8.6
2026-04-17,31.31,31.14,31.45,31.0,14443556.0,449545593.7,-0.005124931140255239,False,002142,宁波银行,银行,4728.6716,4051.4254,1.2,8.6
2026-04-20,31.13,32.42,32.49,31.0,30818949.0,989932962.34,0.040282349901677776,False,002142,宁波银行,银行,4757.4419,4082.1271,1.2,8.6
2026-04-21,32.4,32.41,32.89,32.17,31466435.0,1020346085.85,-0.00030849915407422896,False,002142,宁波银行,银行,4767.997,4085.0766,1.2,8.6
2026-04-22,32.38,31.97,32.68,31.76,22281235.0,714438615.42,-0.013669054081705868,False,002142,宁波银行,银行,4799.627,4106.2581,1.2,8.6
2026-04-23,32.0,32.02,32.15,31.74,20524110.0,656099607.05,0.0015627444968186342,False,002142,宁波银行,银行,4786.3273,4093.2501,1.2,8.6
2026-04-24,32.07,32.3,32.32,31.77,33218489.0,1066951496.61,0.00870652266004207,False,002142,宁波银行,银行,4769.3688,4079.9004,1.2,8.6
2026-04-27,33.3,32.84,33.88,32.68,65187971.0,2161985483.02,0.01658005435561672,False,002142,宁波银行,银行,4770.9469,4086.3442,1.2,8.6
2026-04-28,32.84,33.25,33.51,32.6,32139322.0,1067511399.07,0.012407482517635541,False,002142,宁波银行,银行,4758.2083,4078.6374,1.2,8.6
2026-04-29,33.01,33.55,33.64,33.0,27858180.0,929755574.04,0.008982096315827586,False,002142,宁波银行,银行,4810.3468,4107.5144,1.2,8.6
2026-04-30,33.4,33.2,33.58,32.87,18840620.0,625490588.78,-0.010486987495247738,False,002142,宁波银行,银行,4807.3069,4112.1593,1.2,8.6
2026-05-06,33.1,32.77,33.16,32.44,31515842.0,1031257683.44,-0.013036413211719614,False,002142,宁波银行,银行,4877.0932,4160.1737,,
2026-05-07,32.67,32.46,32.85,32.36,19717384.0,640964766.5,-0.009504900624278115,False,002142,宁波银行,银行,4900.5098,4180.0922,,
2026-05-08,32.5,32.05,32.68,31.85,24328741.0,780659794.86,-0.012711378719766195,False,002142,宁波银行,银行,4871.9122,4179.9524,,
2026-05-11,31.85,32.68,32.7,31.85,25276993.0,818696252.16,0.019466086625123183,False,002142,宁波银行,银行,4951.8366,4225.0207,,
2026-05-12,32.68,31.91,32.74,31.81,25499030.0,818447852.17,-0.023843829701649995,False,002142,宁波银行,银行,4948.0465,4214.4891,,
2026-05-13,31.91,32.05,32.35,31.9,21283637.0,683016732.18,0.00437774307652674,False,002142,宁波银行,银行,4998.3417,4242.572,,
